Title,Years,Genre,Rating,R
Crip Camp: A Disability Revolution,2020,Documentary,10,R
The Square (Al Midan),2013,Documentary,10,Unknow
Shirkers,2018,Documentary,10,Unknow
Strong Island,2017,Documentary,10,Unknow
Lady Bird,2017,Drama,9.9,R
Lady Bird,2017,Comedy,9.9,R
Knock Down the House,2019,Documentary,9.9,PG
Song Of The Sea,2014,Adventure,9.9,PG
Song Of The Sea,2014,Animation,9.9,PG
Song Of The Sea,2014,Fantasy,9.9,PG
Under The Shadow,2016,Mystery,9.9,PG-13
Under The Shadow,2016,Thriller,9.9,PG-13
Under The Shadow,2016,Horror,9.9,PG-13
Moonlight,2016,Drama,9.8,R
Homecoming: A Film by Beyoncé,2019,,9.8,Unknow
Circus of Books,2020,Documentary,9.8,Unknow
Spider-Man: Into the Spider-Verse,2018,Adventure,9.7,PG
Spider-Man: Into the Spider-Verse,2018,Comedy,9.7,PG
Spider-Man: Into the Spider-Verse,2018,Action,9.7,PG
Spider-Man: Into the Spider-Verse,2018,Animation,9.7,PG
Spider-Man: Into the Spider-Verse,2018,Kids,9.7,PG
Spider-Man: Into the Spider-Verse,2018,Family,9.7,PG
Spider-Man: Into the Spider-Verse,2018,Fantasy,9.7,PG
Spotlight,2015,Drama,9.7,R
Dolemite Is My Name,2019,Drama,9.7,R
Dolemite Is My Name,2019,Comedy,9.7,R
Dolemite Is My Name,2019,Biography,9.7,R
Mudbound,2017,Drama,9.7,R
Mudbound,2018,History,9.7,R
Aquarius,2016,Drama,9.7,Unknow
13th,2016,Documentary,9.7,Unknow
Monty Python and the Holy Grail,1975,Comedy,9.7,PG
"The Good, the Bad and the Ugly",1966,Western,9.7,R
Airplane!,1980,Comedy,9.7,PG
Pick of the Litter,2018,Documentary,9.7,Unknow
The Irishman,2019,Drama,9.6,R
The Irishman,2020,Crime,9.6,R
The Social Network,2010,Drama,9.6,PG-13
The Social Network,2011,Biography,9.6,PG-13
The Florida Project,2017,Drama,9.6,R
Atlantics,2019,Drama,9.6,Unknow
Blue Ruin,2014,Mystery,9.6,R
Blue Ruin,2014,Thriller,9.6,R
Blue Ruin,2014,Drama,9.6,R
Blue Ruin,2014,Crime,9.6,R
Menashe,2017,Drama,9.6,PG
Menashe,2017,Comedy,9.6,PG
Undefeated,2012,Documentary,9.6,PG-13
The Silence of the Lambs,1991,Mystery,9.6,R
The Silence of the Lambs,1991,Thriller,9.6,R
The Silence of the Lambs,1991,Drama,9.6,R
The Silence of the Lambs,1991,Crime,9.6,R
American Factory,2019,Documentary,9.6,Unknow
Back to the Future,1985,Fantasy,9.6,PG
Back to the Future,1985,Adventure,9.6,PG
Back to the Future,1985,Comedy,9.6,PG
Back to the Future,1985,Sci-Fi,9.6,PG
I Lost My Body,2019,Animation,9.6,Unknow
I Lost My Body,2019,Drama,9.6,Unknow
I Lost My Body,2019,Fantasy,9.6,Unknow
To All the Boys I've Loved Before,2018,Drama,9.6,Unknow
To All the Boys I've Loved Before,2018,Romance,9.6,Unknow
I Am Divine,2013,Documentary,9.6,Unknow
Roma,2018,Drama,9.6,R
The Artist,2011,Drama,9.5,PG-13
The Artist,2011,Romance,9.5,PG-13
Her,2013,Drama,9.5,R
Her,2013,Comedy,9.5,R
Her,2013,Romance,9.5,R
Nightcrawler,2014,Drama,9.5,R
Nightcrawler,2014,Crime,9.5,R
Nightcrawler,2014,Mystery,9.5,R
Nightcrawler,2014,Thriller,9.5,R
Casino Royale,2006,Action,9.5,PG-13
Casino Royale,2006,Adventure,9.5,PG-13
Casino Royale,2006,Mystery,9.5,PG-13
Casino Royale,2006,Thriller,9.5,PG-13
The Muppets,2011,Comedy,9.5,PG
The Muppets,2011,Kids,9.5,PG
The Muppets,2011,Family,9.5,PG
The Death of Stalin,2018,Comedy,9.5,R
Pan's Labyrinth,2006,Drama,9.5,R
