,Title,Years,Genre,Rating,R
1,Crip Camp: A Disability Revolution,2020,['Documentary'],10,R
2,The Square (Al Midan),2013,['Documentary'],10,Unknow
3,Shirkers,2018,['Documentary'],10,Unknow
4,Strong Island,2017,['Documentary'],10,Unknow
5,Lady Bird,2017,"['Drama', 'Comedy']",9.9,R
6,Knock Down the House,2019,['Documentary'],9.9,PG
7,Song Of The Sea,2014,"['Adventure', 'Animation', 'Fantasy']",9.9,PG
8,Under The Shadow,2016,"['Mystery', 'Thriller', 'Horror']",9.9,PG-13
9,Moonlight,2016,['Drama'],9.8,R
10,Homecoming: A Film by Beyoncé,2019,[],9.8,Unknow
11,Circus of Books,2020,['Documentary'],9.8,Unknow
12,Spider-Man: Into the Spider-Verse,2018,"['Adventure', 'Comedy', 'Action', 'Animation', 'Kids', 'Family', 'Fantasy']",9.7,PG
13,Spotlight,2015,['Drama'],9.7,R
14,Dolemite Is My Name,2019,"['Drama', 'Comedy', 'Biography']",9.7,R
15,Mudbound,2017,"['Drama', 'History']",9.7,R
16,Aquarius,2016,['Drama'],9.7,Unknow
17,13th,2016,['Documentary'],9.7,Unknow
18,Monty Python and the Holy Grail,1975,['Comedy'],9.7,PG
19,"The Good, the Bad and the Ugly",1966,['Western'],9.7,R
20,Airplane!,1980,['Comedy'],9.7,PG
21,Pick of the Litter,2018,['Documentary'],9.7,Unknow
22,The Irishman,2019,"['Drama', 'Crime']",9.6,R
23,The Social Network,2010,"['Drama', 'Biography']",9.6,PG-13
24,The Florida Project,2017,['Drama'],9.6,R
25,Atlantics,2019,['Drama'],9.6,Unknow
26,Blue Ruin,2014,"['Mystery', 'Thriller', 'Drama', 'Crime']",9.6,R
27,Menashe,2017,"['Drama', 'Comedy']",9.6,PG
28,Undefeated,2012,['Documentary'],9.6,PG-13
29,The Silence of the Lambs,1991,"['Mystery', 'Thriller', 'Drama', 'Crime']",9.6,R
30,American Factory,2019,['Documentary'],9.6,Unknow
31,Back to the Future,1985,"['Fantasy', 'Adventure', 'Comedy', 'Sci-Fi']",9.6,PG
32,I Lost My Body,2019,"['Animation', 'Drama', 'Fantasy']",9.6,Unknow
33,To All the Boys I've Loved Before,2018,"['Drama', 'Romance']",9.6,Unknow
34,I Am Divine,2013,['Documentary'],9.6,Unknow
35,Roma,2018,['Drama'],9.6,R
36,The Artist,2011,"['Drama', 'Romance']",9.5,PG-13
37,Her,2013,"['Drama', 'Comedy', 'Romance']",9.5,R
38,Nightcrawler,2014,"['Drama', 'Crime', 'Mystery', 'Thriller']",9.5,R
39,Casino Royale,2006,"['Action', 'Adventure', 'Mystery', 'Thriller']",9.5,PG-13
40,The Muppets,2011,"['Comedy', 'Kids', 'Family']",9.5,PG
41,The Death of Stalin,2018,['Comedy'],9.5,R
42,Pan's Labyrinth,2006,"['Drama', 'Fantasy', 'War']",9.5,R
43,Burning (Beoning),2018,"['Mystery', 'Thriller', 'Drama']",9.5,Unknow
44,The Breadwinner,2017,"['Animation', 'Drama']",9.5,PG-13
45,Raiders of the Lost Ark,1981,"['Adventure', 'Action']",9.5,PG
46,Krisha,2016,"['Drama', 'Other']",9.5,R
47,Monty Python's Life of Brian,1979,['Comedy'],9.5,R
48,Mean Streets,1973,"['Drama', 'Crime']",9.5,R
49,The Evil Dead,1981,['Horror'],9.5,Unknow
50,Lagaan: Once Upon a Time in India,2001,"['Drama', 'Romance', 'History']",9.5,PG
51,Outside In,2018,['Drama'],9.5,Unknow
52,Marriage Story,2019,"['Drama', 'Comedy']",9.4,R
53,Snowpiercer,2014,"['Action', 'Sci-Fi']",9.4,R
54,An Education,2009,['Drama'],9.4,PG-13
55,De Palma,2016,['Documentary'],9.4,R
56,Private Life,2018,"['Drama', 'Comedy']",9.4,R
57,Shadow,2019,"['Action', 'Adventure', 'Sports', 'Fitness']",9.4,Unknow
58,Fargo,1996,"['Mystery', 'Thriller', 'Drama', 'Comedy', 'Crime']",9.4,R
59,Klaus,2019,"['Adventure', 'Comedy', 'Other', 'Animation', 'Kids', 'Family']",9.4,PG
60,Howards End,1992,['Drama'],9.4,PG
61,"Jim & Andy: The Great Beyond - Featuring a Very Special, Contractually Obligated Mention of Tony Clifton",2017,['Documentary'],9.4,Unknow
62,Icarus,2017,['Documentary'],9.4,Unknow
63,Frost/Nixon,2008,"['Drama', 'History']",9.3,R
64,Dallas Buyers Club,2013,['Drama'],9.3,R
65,The Town,2010,"['Mystery', 'Thriller', 'Drama', 'Crime']",9.3,R
66,Hugo,2011,"['Adventure', 'Drama', 'Fantasy']",9.3,PG
67,Wildlife,2018,['Drama'],9.3,PG-13
68,Being John Malkovich,1999,['Comedy'],9.3,R
69,The Little Prince,2016,"['Adventure', 'Animation', 'Fantasy']",9.3,PG
70,CAM,2018,"['Mystery', 'Thriller', 'Horror']",9.3,Unknow
71,I'll See You in My Dreams,2015,"['Drama', 'Comedy', 'Romance']",9.3,PG-13
72,Boy and the World (O Menino e o Mundo),2015,"['Adventure', 'Animation', 'Kids', 'Family']",9.3,PG
73,Glory,1989,"['Drama', 'War', 'History']",9.3,R
74,Sand Storm (Sufat Chol),2016,['Drama'],9.3,Unknow
75,Hush,2016,"['Mystery', 'Thriller', 'Horror']",9.3,R
76,WarGames (War Games),1983,"['Mystery', 'Thriller', 'Drama', 'Action']",9.3,PG
77,Uncut Gems,2019,"['Mystery', 'Thriller', 'Comedy']",9.2,R
78,Da 5 Bloods,2020,"['Drama', 'War']",9.2,R
79,Drive,2011,"['Action', 'Drama', 'Crime']",9.2,R
80,Silver Linings Playbook,2012,"['Drama', 'Comedy', 'Romance']",9.2,R
81,Good Time,2017,"['Mystery', 'Thriller', 'Drama', 'Crime']",9.2,R
82,There Will Be Blood,2007,['Drama'],9.2,R
83,The Meyerowitz Stories (New and Selected),2017,['Comedy'],9.2,Unknow
84,The Squid and the Whale,2005,['Drama'],9.2,R
85,Y Tu Mama Tambien,2001,"['Drama', 'Comedy']",9.2,Unknow
86,High Flying Bird,2019,['Drama'],9.2,Unknow
87,The Endless,2018,"['Mystery', 'Thriller', 'Horror', 'Sci-Fi']",9.2,Unknow
88,We the Animals,2018,['Drama'],9.2,R
89,Fyre,2019,['Documentary'],9.2,Unknow
90,Rolling Thunder Revue: A Bob Dylan Story By Martin Scorsese,2019,"['Music', 'Documentary']",9.2,Unknow
91,West Side Story,1961,['Musical'],9.2,Unknow
92,Set It Up,2018,['Romance'],9.2,Unknow
93,Into the Inferno,2016,['Documentary'],9.2,Unknow
94,Mindhorn,2016,['Comedy'],9.2,Unknow
95,The Disaster Artist,2017,"['Drama', 'Comedy']",9.1,R
96,A Ghost Story,2017,"['Drama', 'Fantasy', 'Romance']",9.1,R
97,Green Room,2016,"['Mystery', 'Thriller', 'Horror']",9.1,R
98,The Gift,2015,"['Mystery', 'Thriller']",9.1,R
99,Beasts of No Nation,2015,"['Drama', 'War']",9.1,Unknow
100,The Sapphires,2013,"['Musical', 'Comedy']",9.1,PG-13
