Title,Years,RunTime,Genre,Rating,R,Votes,Gross
The Shawshank Redemption,1994,142,Drama,9.3,R,"2,293,043",$28.34M
The Godfather,1972,175,Crime,9.2,R,"1,582,807",$134.97M
The Godfather,1972,175,Drama,9.2,R,"1,582,807",$134.97M
The Godfather: Part II,1974,202,Crime,9,R,"1,105,811",$57.30M
The Godfather: Part II,1974,202,Drama,9,R,"1,105,811",$57.30M
The Dark Knight,2008,152,Action,9,PG-13,"2,258,091",$534.86M
The Dark Knight,2008,152,Crime,9,PG-13,"2,258,091",$534.86M
The Dark Knight,2008,152,Drama,9,PG-13,"2,258,091",$534.86M
12 Angry Men,1957,96,Crime,8.9,Approved,"673,640",$4.36M
12 Angry Men,1957,96,Drama,8.9,Approved,"673,640",$4.36M
Schindler's List,1993,195,Biography,8.9,R,"1,190,394",$96.90M
Schindler's List,1993,195,Drama,8.9,R,"1,190,394",$96.90M
Schindler's List,1993,195,History,8.9,R,"1,190,394",$96.90M
The Lord of the Rings: The Return of the King,2003,201,Action,8.9,PG-13,"1,612,731",$377.85M
The Lord of the Rings: The Return of the King,2003,201,Adventure,8.9,PG-13,"1,612,731",$377.85M
The Lord of the Rings: The Return of the King,2003,201,Drama,8.9,PG-13,"1,612,731",$377.85M
Pulp Fiction,1994,154,Crime,8.9,R,"1,790,766",$107.93M
Pulp Fiction,1994,154,Drama,8.9,R,"1,790,766",$107.93M
"The Good, the Bad and the Ugly",1966,178,Western,8.8,R,"676,462",$6.10M
Fight Club,1999,139,Drama,8.8,R,"1,818,208",$37.03M
Joker,2019,122,Crime,8.5,R,"879,359",$335.45M
Joker,2019,122,Drama,8.5,R,"879,359",$335.45M
Joker,2019,122,Thriller,8.5,R,"879,359",$335.45M
The Lord of the Rings: The Fellowship of the Ring,2001,178,Drama,8.8,PG-13,"1,628,469",$315.54M
The Lord of the Rings: The Fellowship of the Ring,2001,178,Adventure,8.8,PG-13,"1,628,469",$315.54M
The Lord of the Rings: The Fellowship of the Ring,2001,178,Action,8.8,PG-13,"1,628,469",$315.54M
Forrest Gump,1994,142,Drama,8.8,PG-13,"1,767,071",$330.25M
Forrest Gump,1994,142,Romance,8.8,PG-13,"1,767,071",$330.25M
Inception,2010,148,Sci-Fi,8.8,PG-13,"2,020,160",$292.58M
Inception,2010,148,Adventure,8.8,PG-13,"2,020,160",$292.58M
Inception,2010,148,Action,8.8,PG-13,"2,020,160",$292.58M
Star Wars: Episode V - The Empire Strikes Back,1980,124,Fantasy,8.7,PG,"1,138,107",$290.48M
Star Wars: Episode V - The Empire Strikes Back,1980,124,Adventure,8.7,PG,"1,138,107",$290.48M
Star Wars: Episode V - The Empire Strikes Back,1980,124,Action,8.7,PG,"1,138,107",$290.48M
The Lord of the Rings: The Two Towers,2002,179,Drama,8.7,PG-13,"1,457,561",$342.55M
The Lord of the Rings: The Two Towers,2002,179,Adventure,8.7,PG-13,"1,457,561",$342.55M
The Lord of the Rings: The Two Towers,2002,179,Action,8.7,PG-13,"1,457,561",$342.55M
The Matrix,1999,136,Sci-Fi,8.7,R,"1,642,048",$171.48M
The Matrix,1999,136,Action,8.7,R,"1,642,048",$171.48M
One Flew Over the Cuckoo's Nest,1975,133,Drama,8.7,R,"899,656",$112.00M
Goodfellas,1990,146,Drama,8.7,R,"998,310",$46.84M
Goodfellas,1990,146,Crime,8.7,R,"998,310",$46.84M
Goodfellas,1990,146,Biography,8.7,R,"998,310",$46.84M
Seven Samurai,1954,207,Action,8.6,Not Rated,"310,069",$0.27M
Seven Samurai,1954,207,Drama,8.6,Not Rated,"310,069",$0.27M
Seven Samurai,1954,207,Adventure,8.6,Not Rated,"310,069",$0.27M
Se7en,1995,127,Crime,8.6,R,"1,412,130",$100.13M
City of God,2002,130,Drama,8.6,R,"689,052",$7.56M
City of God,2002,130,Crime,8.6,R,"689,052",$7.56M
Life Is Beautiful,1997,116,Drama,8.6,PG-13,"609,867",$57.60M
Life Is Beautiful,1997,116,Romance,8.6,PG-13,"609,867",$57.60M
Life Is Beautiful,1997,116,Comedy,8.6,PG-13,"609,867",$57.60M
The Silence of the Lambs,1991,118,Thriller,8.6,R,"1,242,892",$130.74M
The Silence of the Lambs,1991,118,Drama,8.6,R,"1,242,892",$130.74M
The Silence of the Lambs,1991,118,Crime,8.6,R,"1,242,892",$130.74M
Star Wars: Episode IV - A New Hope,1977,121,Action,8.6,PG,"1,209,888",$322.74M
Star Wars: Episode IV - A New Hope,1977,121,Fantasy,8.6,PG,"1,209,888",$322.74M
Star Wars: Episode IV - A New Hope,1977,121,Adventure,8.6,PG,"1,209,888",$322.74M
It's a Wonderful Life,1946,130,Drama,8.6,PG,"390,471",
Saving Private Ryan,1998,169,Drama,8.6,R,"1,211,275",$216.54M
Saving Private Ryan,1998,169,War,8.6,R,"1,211,275",$216.54M
Spirited Away,2001,125,Family,8.6,PG,"632,548",$10.06M
Spirited Away,2001,125,Adventure,8.6,PG,"632,548",$10.06M
Spirited Away,2001,125,Animation,8.6,PG,"632,548",$10.06M
